Filename	Keywords
kiel_051002_1-21.jpg	water;verticals;vertical;USA;US;United States of America;United States;U.S.A.;U.S.;travel;toned;tone;strong;strength;sports;solemn;sky;skies;shores;shorelines;shoreline;shore;seasides;seaside;seashores;seashore;seas;sea;sand;race;portraits;portrait;people;partly cloudy;paddles;paddle;outsides;outside;outdoors;outdoor;one person;oceans;ocean;natural light;muscular;minority;minorities;men;man;males;male adults;male adult;male;looking at camera;lone;individual;HI;Hawaii;full body;front view;fit;ethnicity;ethnicities;dignity;dignified;daytime;daylight;day-time;day time;colour images;colour image;color images;color image;coasts;coastlines;coastline;coastal;coast;cloudy sky;cloudy skies;cloudy;clouds;cloud;chests;chest;blacks;black;beaches;beach;bare chests;bare chest;African ethnicity;African Americans;African American;adults;adult;1 person;1
kiel_051002_1-3.jpg	women;woman;West Indies;West Indian;waist up;verticals;vertical;travel;tranquillity;tranquility;tranquil;studio shot;serenity;serene;scarves;scarf;race;portraits;portrait;people;peaceful;peace;one person;minority;minorities;lone;Latin American;Latin America;individual;head scarves;head scarf;head covering;hats;hat;front view;females;female adults;female adult;female;fedoras;fedora;eyes closed;ethnicity;ethnicities;dropouts;dropout;drop-outs;drop-out;drop outs;drop out;clothing;clothes;closed eyes;Caribbean;calm;BS;blacks;black and white images;black and white image;black and white;black;Bahamian;Bahamas;African ethnicity;African Americans;African American;adults;adult;1 person;1
kiel_051002_1-4.jpg	women;woman;West Indies;West Indian;verticals;vertical;travel;tranquillity;tranquility;tranquil;three quarter length;studio shot;smoking;smoke;side view;sicknesses;sickness;sick;serenity;serene;scarves;scarf;race;profiles;profile;portraits;portrait;people;peaceful;peace;one person;minority;minorities;lone;Latin American;Latin America;individual;illnesses;illness;health;head scarves;head scarf;head covering;hats;hat;females;female adults;female adult;female;fedoras;fedora;feathers;feather;eyes closed;ethnicity;ethnicities;dropouts;dropout;drop-outs;drop-out;drop outs;drop out;clothing;clothes;closed eyes;cigars;cigar;Caribbean;calm;BS;blacks;black and white images;black and white image;black and white;black;Bahamian;Bahamas;African ethnicity;African Americans;African American;adults;adult;addictions;addiction;1 person;1
kiel_051002_1-5.jpg	women;woman;West Indies;West Indian;waist up;travel;tranquillity;tranquility;tranquil;studio shot;smoking;smoke;side view;sicknesses;sickness;sick;serenity;serene;scarves;scarf;race;profiles;profile;portraits;portrait;pleasures;pleasure;people;peaceful;peace;one person;minority;minorities;lone;Latin American;Latin America;joyful;joy;individual;illnesses;illness;horizontals;horizontal;health;head scarves;head scarf;head covering;hats;hat;happy;happiness;females;female adults;female adult;female;fedoras;fedora;feathers;feather;eyes closed;ethnicity;ethnicities;enjoyment;enjoy;dropouts;dropout;drop-outs;drop-out;drop outs;drop out;clothing;clothes;closed eyes;cigars;cigar;Caribbean;calm;BS;blacks;black and white images;black and white image;black and white;black;Bahamian;Bahamas;African ethnicity;African Americans;African American;adults;adult;addictions;addiction;1 person;1
kiel_051002_1-6.jpg	woods;woodlands;woodland;walkways;walkway;verticals;vertical;USA;US;United States of America;United States;U.S.A.;U.S.;trees;tree;travel;trails;trail;Sun Valley;sports;speed;sitting;sit;recreations;recreation;pieces+parts;people;pathways;pathway;paths;path;outsides;outside;outdoors;outdoor;one person;natural light;movements;movement;move;mountain biking;mountain bikes;mountain bike;motion-blurs;motion-blur;motion blurs;motion blur;lone;individual;Idaho;ID;forests;forest;footpaths;footpath;foot;feet;fast;daytime;daylight;day-time;day time;colour images;colour image;color images;color image;closeups;closeup;close ups;close up;Caucasians;Caucasian appearance;Caucasian;birches;birch trees;birch tree;birch;bikes;bike;bicycling;bicycles;bicycle;betulas;betula;adults;adult;1 person;1
kiel_051002_1-7.jpg	woods;woodlands;woodland;women;woman;USA;US;United States of America;United States;U.S.A.;U.S.;trees;tree;travel;Sun Valley;sports;speed;sitting;sit;side view;shadows;shadow;safety equipment;rucksacks;rucksack;recreations;recreation;people;outsides;outside;outdoors;outdoor;one person;natural light;moving;movements;movement;move;mountain biking;mountain bikes;mountain bike;mountain;motions;motion;meadows;meadow;lone;knapsacks;knapsack;individual;Idaho;ID;horizontals;horizontal;helmets;helmet;full body;forests;forest;fields;field;females;female adults;female adult;female;fast;daytime;daylight;day-time;day time;colour images;colour image;color images;color image;Caucasians;Caucasian appearance;Caucasian;bikes;bike;bicycling;bicycles;bicycle helmets;bicycle helmet;bicycle;backpacks;backpack;adults;adult;1 person;1; Mountains
kiel_051002_1-8.jpg	yellow lines;yellow line;verticals;vertical;USA;US;United States of America;United States;U.S.A.;U.S.;travel;sunglasses;Sun Valley;sports;speed;sky;skies;sitting;sit;shadows;shadow;safety equipment;roads;road;riding;ride;recreations;recreation;persistent;persistence;perseverance;people;partly cloudy;outsides;outside;outdoors;outdoor;one person;natural light;moving;movements;movement;move;motions;motion;men;median lines;median line;man;males;male adults;male adult;male;low angle views;low angle view;lone;individual;Idaho;ID;helmets;helmet;full body;front view;from below;focused;focus;fast;duotones;duotone;determined;determination;daytime;daylight;day-time;day time;concentration;concentrate;cloudy sky;cloudy skies;cloudy;clouds;cloud;Caucasians;Caucasian appearance;Caucasian;black and whites images;black and white image;biking;bikes;bike;bicyclists;bicyclist;bicycling;bicycles;bicycle helmets;bicycle helmet;bicycle;adults;adult;1 person;1
kiel_051002_1-9.jpg	yellow lines;yellow line;verticals;vertical;USA;US;United States of America;United States;U.S.A.;U.S.;travel;sunglasses;Sun Valley;sports;speed;sky;skies;sitting;sit;shadows;shadow;safety equipment;roads;road;riding;ride;recreations;recreation;persistent;persistence;perseverance;people;partly cloudy;outsides;outside;outdoors;outdoor;one person;natural light;moving;movements;movement;move;motions;motion;men;median lines;median line;man;males;male adults;male adult;male;low angle views;low angle view;lone;individual;Idaho;ID;helmets;helmet;full body;front view;from below;focused;focus;fast;determined;determination;daytime;daylight;day-time;day time;concentration;concentrate;colour images;colour image;color images;color image;cloudy sky;cloudy skies;cloudy;clouds;cloud;Caucasians;Caucasian appearance;Caucasian;biking;bikes;bike;bicyclists;bicyclist;bicycling;bicycles;bicycle helmets;bicycle helmet;bicycle;adults;adult;1 person;1
kiel_051002_1.jpg	women;woman;water;waist up;verticals;vertical;USA;US;United States of America;United States;U.S.A.;U.S.;two people;two;travel;tranquillity;tranquility;tranquil;three quarter length;teamwork;sunglasses;Stanley;smiling;smiles;smile;sky;skies;sitting;sit;serenity;serene;romantic;romance;recreations;recreation;people;peaceful;peace;partly cloudy;paddling;paddles;paddle;outsides;outside;outdoors;outdoor;natural light;men and women;men;man and woman;man;males;male adults;male adult;male;love;lochs;loch;lifestyle;lakes;lake;joy;Idaho;ID;happy;happiness;grins;grinning;grin;front view;females;female adults;female adult;female;expressive;expression;enjoy;delight;daytime;daylight;day-time;day time;couples;couple;cooperation;cooperate;colour images;colour image;color images;color image;cloudy sky;cloudy skies;cloudy;clouds;cloud;Caucasians;Caucasian appearance;Caucasian;canoes;canoe;calm;boats;boat;adventures;adventure;adults;adult couples;adult couple;adult;2 people;2
kiel_051002_10-2.jpg	waist up;verticals;vertical;trumpets;trumpet;race;playing music;play music;people;outsides;outside;outdoors;outdoor;one person;natural light;mustaches;mustache;musicians;musician;musical instruments;musical instrument;music instruments;music instrument;music;moustaches;moustache;minority;minorities;middle aged;middle age;men;mature men;mature man;mature adults;mature adult;man;males;male mature adults;male mature adult;male;making music;make music;lone;instruments;instrument;individual;imaginative;imagination;horns;horn;hats;hat;front view;fedoras;fedora;eyeglasses;ethnicity;ethnicities;daytime;daylight;day-time;day time;creativity;creative;create;colour images;colour image;color images;color image;blacks;black;African ethnicity;African Americans;African American;1 person;1
